Словоформа,Частота (ipm),Капитализация
Бывает,13.093733,higher
бывает,130.096446,lower
бывал,18.469371,lower
бывала,5.585859,lower
бывали,12.733355,lower
Бывало,6.366677,higher
бывало,37.359183,lower
бывать,7.477843,lower
Бывают,6.42674,higher
бывают,38.650537,lower
бывшая,11.802378,lower
бывшего,33.725372,lower
бывшей,19.820788,lower
бывшем,6.186488,lower
бывшему,5.435701,lower
бывшие,14.114804,lower
Бывший,6.21652,higher
бывший,43.365482,lower
бывшим,8.528945,lower
бывших,24.325513,lower
быка,8.108504,lower
Быков,8.198599,higher
быков,5.61589,lower
Был,50.663136,higher
был,1969.55569,lower
Была,33.725372,higher
была,1215.134445,lower
Были,34.566253,higher
были,1182.580302,lower
Было,67.480775,higher
было,2621.59956,lower
быстрее,52.104648,lower
быстренько,9.850331,lower
Быстро,13.093733,higher
быстро,251.724011,lower
быстрого,9.489953,lower
быстрое,5.856142,lower
быстрой,6.727055,lower
быстрый,9.550016,lower
быстрым,7.357717,lower
быт,16.84767,lower
быта,20.571576,lower
бытие,7.567937,lower
бытия,31.29282,lower
бытовой,11.802378,lower
бытовые,6.42674,lower
бытовых,9.940426,lower
быту,9.21967,lower
Быть,16.907733,higher
быть,1002.691633,lower
бьет,14.114804,lower
бьется,6.006299,lower
бьют,10.480993,lower
бюджет,16.817639,lower
бюджета,25.496741,lower
бюджетные,5.195449,lower
бюджетных,10.991528,lower
бюджетов,5.495764,lower
бюро,17.65852,lower
бюрократии,6.937276,lower
бюст,5.135386,lower
В,3809.345279,higher
в,29436.51331,lower
В-третьих,12.463071,higher
в-третьих,7.357717,lower
В.,391.640757,higher
в.,90.785216,lower
вагон,18.169056,lower
вагона,12.673292,lower
вагоне,12.883512,lower
вагонов,9.009449,lower
вагоны,5.675953,lower
Вадик,6.246551,higher
Вадим,22.403497,higher
Вадима,6.336646,higher
важен,13.394048,lower
важна,14.084772,lower
важная,14.895623,lower
важнее,26.788096,lower
важнейшие,5.585859,lower
важнейший,5.195449,lower
важнейшим,6.126425,lower
важнейших,17.388237,lower
Важно,19.910883,higher
важно,109.91528,lower
важного,8.528945,lower
важное,34.235907,lower
важной,15.796568,lower
важности,10.571087,lower
важность,10.511024,lower
важную,18.589497,lower
важны,13.874552,lower
важные,24.235418,lower
важный,26.367655,lower
важным,31.803356,lower
важными,7.778158,lower
важных,29.400836,lower
вал,5.375638,lower
Валентин,52.314868,higher
Валентина,42.644726,higher
Валентину,7.02737,higher
Валентины,6.126425,higher
Валера,12.102693,higher
Валерий,28.379765,higher
Валерия,10.390898,higher
Валерка,11.622189,higher
валюты,9.8203,lower
Валя,19.910883,higher
валялись,6.126425,lower
Вам,54.35701,higher
вам,331.757951,lower
Вами,6.42674,higher
вами,76.280003,lower
Ван,11.502063,higher
ван,13.784457,lower
ванной,20.571576,lower
ванну,5.82611,lower
ванную,11.592158,lower
ванны,5.465733,lower
Ванька,7.41778,higher
Ваня,44.656837,higher
варенье,5.045292,lower
вариант,56.75953,lower
варианта,14.745465,lower
вариантах,5.01526,lower
варианте,13.664331,lower
вариантов,25.586836,lower
варианты,23.995166,lower
варить,6.066362,lower
Вас,35.737482,higher
вас,396.235576,lower
Василием,5.045292,higher
Василий,49.551971,higher
Василия,22.944064,higher
Васильев,6.606929,higher
Васильева,6.276583,higher
Васильевич,41.92397,higher
Васильевича,13.664331,higher
Васильевна,11.351906,higher
Васька,11.982567,higher
Вася,28.68008,higher
Ваш,16.006788,higher
ваш,56.489246,lower
Ваша,8.979418,higher
ваша,29.040458,lower
Ваше,10.03052,higher
ваше,24.115292,lower
вашего,30.542033,lower
вашей,32.88449,lower
вашем,13.904583,lower
вашему,10.721245,lower
Ваши,10.210709,higher
ваши,43.245356,lower
вашим,16.547355,lower
Вашингтон,5.075323,higher
ваших,25.586836,lower
вашу,18.889812,lower
вблизи,17.478331,lower
вбок,5.01526,lower
вв,5.285544,lower
вв.,20.781796,lower
Введение,6.516835,higher
введение,11.922504,lower
введении,5.555827,lower
введения,12.162756,lower
ввел,8.498914,lower
ввели,7.447811,lower
вверх,79.012869,lower
вверху,5.555827,lower
ввести,17.898772,lower
ввиду,10.931465,lower
ввода,5.195449,lower
вводит,5.82611,lower
вводить,7.477843,lower
ВВП,23.364505,higher
вглубь,8.709134,lower
вдалеке,6.006299,lower
вдали,14.174867,lower
вдаль,8.22863,lower
вдвое,22.403497,lower
вдвоем,17.4483,lower
Вдобавок,5.135386,higher
вдобавок,8.078473,lower
вдова,7.778158,lower
вдовы,5.555827,lower
Вдоль,6.666992,higher
вдоль,76.430161,lower
вдохновения,6.757087,lower
Вдруг,42.134191,higher
вдруг,355.032361,lower
ведение,5.255512,lower
ведении,6.066362,lower
ведения,10.180678,lower
ведет,52.735309,lower
ведется,10.781308,lower
ведомости,7.327685,lower
ведомств,5.285544,lower
ведомства,11.472032,lower
ведомство,5.375638,lower
ведра,8.138536,lower
ведро,17.508363,lower
ведут,30.09156,lower
ведутся,8.258662,lower
ведущая,6.186488,lower
ведущего,6.366677,lower
ведущей,9.339796,lower
ведущие,11.862441,lower
ведущий,12.282882,lower
ведущим,5.82611,lower
ведущих,25.977245,lower
Ведь,165.353424,higher
ведь,456.388665,lower
Ведьма,5.075323,higher
ведёт,8.528945,lower
вежливо,16.967796,lower
Везде,6.366677,higher
везде,50.663136,lower
везет,5.886173,lower
везли,6.997339,lower
везти,5.705984,lower
Век,5.285544,higher
век,54.266916,lower
века,300.284942,lower
веками,10.841371,lower
веках,9.850331,lower
веке,76.249972,lower
веки,13.874552,lower
веков,46.93923,lower
вектор,6.186488,lower
веку,7.628,lower
вел,30.69219,lower
вела,20.601607,lower
велась,5.105355,lower
велел,29.611056,lower
велела,8.378788,lower
вели,24.745954,lower
велик,12.853481,lower
велика,15.946725,lower
Великая,11.622189,higher
великая,15.466221,lower
велики,7.087433,lower
великие,14.685402,lower
Великий,23.784946,higher
великий,35.136852,lower
великим,14.23493,lower
великих,22.46356,lower
велико,5.796079,lower
Великобритании,19.730694,higher
Великобритания,7.087433,higher
Великого,26.06734,higher
великого,40.392364,lower
великое,14.535245,lower
Великой,30.932442,higher
великой,26.157434,lower
великолепно,5.465733,lower
великолепный,5.165418,lower
Великом,7.477843,higher
великому,6.666992,lower
великую,7.658032,lower
величие,7.898284,lower
величина,6.847181,lower
величине,5.796079,lower
величиной,6.096394,lower
величину,7.207559,lower
величины,9.790268,lower
величия,5.135386,lower
велосипед,9.850331,lower
велосипеде,7.327685,lower
Венгрии,7.327685,higher
Вене,7.567937,higher
Венера,6.757087,higher
Венеры,8.258662,higher
Венеции,13.03367,higher
Вены,5.525796,higher
Вера,60.183121,higher
вера,20.091072,lower
веранде,6.81715,lower
Вере,5.916205,higher
вере,13.153796,lower
веревки,6.096394,lower
верен,5.225481,lower
верил,23.154284,lower
верила,8.799229,lower
верили,12.372977,lower
верит,17.898772,lower
верите,6.066362,lower
верить,40.842836,lower
веришь,9.099544,lower
Вернее,17.388237,higher
вернее,31.352883,lower
вернемся,12.312914,lower
вернется,20.811828,lower
Верно,7.237591,higher
верно,36.278049,lower
верности,8.468882,lower
верность,12.132725,lower
Вернувшись,11.411969,higher
вернувшись,12.102693,lower
вернул,10.090583,lower
вернулась,33.935592,lower
вернули,8.558977,lower
вернулись,29.641088,lower
Вернулся,6.997339,higher
вернулся,84.869011,lower
вернусь,11.081623,lower
вернутся,5.856142,lower
вернуть,32.103671,lower
вернуться,56.399152,lower
верный,10.841371,lower
верным,6.757087,lower
верой,7.988378,lower
Вероника,10.721245,higher
Вероятно,22.823938,higher
вероятно,55.408113,lower
вероятности,9.189638,lower
вероятность,23.304442,lower
вероятностью,6.937276,lower
версии,33.935592,lower
версий,7.267622,lower
версию,12.64326,lower
версия,21.65271,lower
вертикали,5.976268,lower
вертикально,5.61589,lower
Веру,7.507874,higher
веру,18.919843,lower
верующих,10.03052,lower
верх,11.201749,lower
верхнего,8.138536,lower
верхней,21.352395,lower
верхнем,6.486803,lower
верхние,5.435701,lower
верхний,8.919355,lower
верхних,8.889323,lower
